City,State,Zip,Bank,BankState,NAICS,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,MIS_Status
ROMEO,MI,48065,"PNC BANK, NATIONAL ASSOCIATION",IL,621210,5,1,0,0,1,0,N,N,"$147,000.00 ",$0.00 ,"$147,000.00 ","$132,300.00 ",P I F
LOS ANGELES,CA,90014,BANK OF AMERICA NATL ASSOC,NC,315299,18,1,3,18,1,1,Y,N,"$1,812.00 ",$0.00 ,"$20,000.00 ","$10,000.00 ",
CRAWFORDSVILLE,IN,47933,TRI-COUNTY BK & TR CO,IN,812320,2,1,0,0,1,0,N,Y,"$100,000.00 ",$0.00 ,"$100,000.00 ","$80,000.00 ",P I F
HADLYME,CT,6439,CITIZENS BANK NATL ASSOC,RI,236118,4,1,0,4,0,2,Y,N,"$5,809.00 ",$0.00 ,"$5,000.00 ","$2,500.00 ",P I F
SAN JOSE,CA,95128,WELLS FARGO BANK NATL ASSOC,SD,621210,6,1,0,0,0,0,N,N,"$300,000.00 ",$0.00 ,"$300,000.00 ","$255,000.00 ",P I F
COLUMBUS,OH,43220,KEYBANK NATIONAL ASSOCIATION,OH,722213,2,1,0,2,82040,1,0,N,"$665,148.00 ",$0.00 ,"$750,000.00 ","$562,500.00 ",P I F
BURLINGTON,VT,5401,CHITTENDEN TR COMPANY A DIVISI,VT,422450,5,2,0,0,1,0,N,N,"$55,000.00 ",$0.00 ,"$55,000.00 ","$44,000.00 ",P I F
Grand Rapids,MI,49544,FIFTH THIRD BANK,OH,333132,2,1,0,0,0,1,N,N,"$40,000.00 ",$0.00 ,"$40,000.00 ","$20,000.00 ",P I F
SAN DIEGO,CA,92111,U.S. BANK NATIONAL ASSOCIATION,OH,236118,1,1,0,0,0,1,Y,N,"$13,939.00 ",$0.00 ,"$10,000.00 ","$5,000.00 ",CHGOFF
TUCSON,AZ,85719,SOUTHWESTERN BUS. FINANCING CO,AZ,0,21,1,0,0,0,0,N,N,"$103,000.00 ",$0.00 ,"$103,000.00 ","$103,000.00 ",P I F
SARATOGA SPRINGS,NY,12866,BANK OF AMERICA NATL ASSOC,NC,561990,15,1,1,15,0,1,N,N,"$91,000.00 ",$0.00 ,"$58,000.00 ","$29,000.00 ",P I F
HILLSDALE,NJ,7642,VALLEY NATIONAL BANK,NJ,0,1,2,6,0,1,0,0,N,"$90,000.00 ",$0.00 ,"$90,000.00 ","$72,000.00 ",P I F
NORTH ST PAUL,MN,55109,ANCHOR BANK NATL ASSOC,MN,0,1,1,0,0,1,0,N,Y,"$72,000.00 ",$0.00 ,"$72,000.00 ","$57,600.00 ",P I F
